,id,class,is_athelete,grad_school,degree,time_between
77,58,2018,0,1,MEDICAL,5
78,59,2004,0,1,LAW,2
79,60,2018,0,0,NA,NA
80,61,2001,0,1,LAW,6
81,62,2008,0,0,NA,NA
82,63,2014,0,1,OTHER,14
83,64,2002,1,1,BUSINESS,9
84,65,2002,0,0,NA,NA
85,65,2002,0,0,NA,NA
86,65,2002,0,0,NA,NA
87,65,2002,0,0,NA,NA
88,65,2002,0,0,NA,NA
89,65,2002,0,0,NA,NA
90,66,2015,1,1,MEDICAL,2
91,66,2015,1,1,OTHER,13
92,67,2001,1,0,NA,NA
93,68,2010,0,0,NA,NA
94,69,2005,1,1,OTHER MS,4
95,70,2014,0,1,BUSINESS,3
96,71,2010,1,0,NA,NA
97,72,2009,1,1,OTHER MS,3
98,73,2012,1,1,MEDICAL,5
99,73,2012,1,1,STEM PhD,3
100,74,2019,1,1,OTHER,5
101,75,2002,0,0,NA,NA
102,76,2012,1,1,OTHER MS,2
103,77,2014,0,0,NA,NA
104,78,2013,1,0,NA,NA
105,79,2006,0,1,MEDICAL,8
106,79,2006,0,1,MEDICAL,2
107,80,2001,1,1,OTHER MS,5
108,81,2016,0,1,OTHER,12
109,82,2005,1,0,NA,NA
110,83,2013,1,0,NA,NA
111,83,2013,1,0,NA,NA
112,84,2018,1,1,LAW,4
113,85,2001,0,1,LAW,7
114,86,2013,1,1,LAW,3
115,87,2006,0,0,NA,NA
116,88,2012,0,0,NA,NA
117,89,2012,1,1,OTHER,2
118,89,2012,1,1,OTHER,4
119,90,2005,0,0,NA,NA
120,91,2008,0,1,LAW,3
121,92,2013,0,0,NA,NA
122,93,2001,0,1,BUSINESS,2
123,93,2001,0,1,LAW,3
124,94,2001,0,1,OTHER MS,2
125,95,2012,1,0,NA,NA
126,96,2009,0,0,NA,NA
127,97,2001,1,1,STEM MS,1
128,97,2001,1,1,LAW,3
129,98,2003,1,0,NA,NA
130,99,2019,1,1,OTHER MS,2
131,99,2019,1,1,LAW,1
132,100,2012,1,0,NA,NA
133,101,2018,0,0,NA,NA
134,102,2010,1,1,LAW,2
135,102,2010,1,1,LAW,4
136,103,2010,0,0,NA,NA
137,104,2001,0,1,STEM MS,0
138,105,2016,0,1,BUSINESS,2
139,105,2016,0,1,NA,4
140,106,2008,0,1,STEM MS,11
141,107,2011,0,0,NA,NA
142,108,2004,1,1,STEM PhD,2
143,109,2018,1,1,OTHER,8
144,110,2015,1,1,OTHER,0
145,111,2012,1,1,LAW,10
146,112,2014,0,0,NA,NA
147,113,2015,0,0,NA,NA
148,114,2006,1,1,OTHER MS,2
149,115,2013,1,1,LAW,9
150,116,2014,1,1,LAW,1
151,116,2014,1,1,LAW,2
152,117,2005,0,0,NA,NA
153,118,2012,0,1,OTHER MS,7
154,119,2015,0,1,OTHER,2
155,119,2015,0,1,LAW,2
156,120,2013,0,1,OTHER,4
157,121,2006,0,0,NA,NA
158,122,2007,0,0,NA,NA
159,123,2006,1,1,OTHER,3
160,124,2016,1,0,NA,NA
161,125,2005,0,0,NA,NA
162,126,2004,1,1,OTHER MS,3
163,127,2018,0,1,OTHER PhD,4
164,128,2007,0,1,OTHER MS,5
165,128,2007,0,1,OTHER MS,18
166,129,2013,1,1,STEM MS,1
167,130,2013,1,0,NA,NA
168,130,2013,1,0,NA,NA
169,130,2013,1,0,NA,NA
170,131,2010,1,1,LAW,2
171,132,2019,1,1,LAW,2
172,133,2001,1,0,NA,NA
173,134,2012,1,0,NA,NA
174,135,2012,1,0,NA,NA
175,135,2012,1,0,NA,NA
176,136,2002,1,1,LAW,13
177,137,2002,0,1,LAW,17
178,138,2004,0,0,NA,NA
179,139,2004,0,0,NA,NA
180,140,2019,1,1,STEM PhD,4
181,141,2014,1,1,BUSINESS,2
182,142,2019,1,1,OTHER,3
183,143,2006,0,0,NA,NA
184,144,2008,0,0,NA,NA
185,145,2005,0,1,OTHER MS,11
186,145,2005,0,1,STEM MS,3
187,145,2005,0,1,MEDICAL,2
188,146,2019,0,0,NA,NA
189,146,2019,0,0,NA,NA
190,147,2009,0,0,NA,NA
191,147,2009,0,0,NA,NA
192,148,2012,0,0,NA,NA
193,148,2012,0,0,NA,NA
194,148,2012,0,0,NA,NA
195,149,2015,0,1,STEM PhD,7
196,150,2016,1,1,OTHER MS,4
197,150,2016,1,1,OTHER MS,2
198,151,2005,1,0,NA,NA
199,152,2008,0,1,STEM MS,13
200,153,2005,0,0,NA,NA
201,153,2005,0,0,NA,NA
202,154,2010,0,1,OTHER MS,1
203,154,2010,0,1,OTHER,2
204,155,2017,1,1,LAW,7
205,156,2010,0,1,OTHER MS,1
206,157,2008,0,0,NA,NA
207,158,2001,0,1,LAW,2
208,158,2001,0,1,STEM MS,11
209,159,2008,0,0,NA,NA
210,159,2008,0,0,NA,NA
211,160,2006,1,1,OTHER PhD,1
212,161,2016,1,1,BUSINESS,6
213,162,2006,1,1,OTHER MS,2
214,163,2011,1,0,NA,NA
215,164,2009,1,1,MEDICAL,0
216,164,2009,1,1,OTHER,3
217,165,2007,1,1,BUSINESS,1
218,166,2014,1,0,NA,NA
219,167,2010,0,0,NA,NA
220,168,2010,0,0,NA,NA
221,169,2009,1,1,NA,5
222,170,2015,0,0,NA,NA
223,170,2015,0,0,NA,NA
224,171,2002,0,1,LAW,4
225,172,2003,1,1,OTHER,4
226,172,2003,1,1,LAW,3
227,173,2004,1,1,STEM PhD,2
228,174,2014,0,0,NA,NA
229,175,2010,0,0,NA,NA
230,176,2002,0,0,NA,NA
231,177,2017,1,1,BUSINESS,1
232,178,2013,0,0,NA,NA
233,179,2010,0,1,BUSINESS,1
234,180,2009,1,0,NA,NA
235,180,2009,1,0,NA,NA
236,180,2009,1,0,NA,NA
237,180,2009,1,0,NA,NA
238,181,2012,1,0,NA,NA
239,182,2011,1,1,STEM MS,9
240,183,2002,0,1,NA,4
241,183,2002,0,1,LAW,3
242,184,2009,0,1,OTHER,4
243,184,2009,0,1,LAW,2
244,184,2009,0,1,OTHER MS,3
245,185,2009,0,1,OTHER MS,2
246,186,2017,0,1,OTHER,2
247,187,2007,1,0,NA,NA
248,188,2011,1,1,STEM MS,5
249,188,2011,1,1,STEM PhD,1
250,189,2007,1,0,NA,NA
251,190,2015,1,1,NA,8
252,190,2015,1,1,BUSINESS,2
253,191,2003,1,1,LAW,1
254,192,2019,1,0,NA,NA
255,193,2003,1,1,OTHER MS,1
256,194,2012,0,1,BUSINESS,4
257,194,2012,0,1,OTHER,18
258,194,2012,0,1,OTHER,2
259,194,2012,0,1,OTHER,6
260,194,2012,0,1,LAW,14
261,195,2006,0,0,NA,NA
262,196,2014,1,0,NA,NA
263,197,2013,1,1,OTHER PhD,6
264,198,2006,0,0,NA,NA
265,199,2017,0,0,NA,NA
266,200,2008,1,1,LAW,2
267,201,2004,1,0,NA,NA
268,202,2019,0,1,MEDICAL,1
269,203,2012,0,1,OTHER,3
270,203,2012,0,1,LAW,4
271,203,2012,0,1,STEM PhD,1
272,204,2006,1,0,NA,NA
273,205,2017,1,0,NA,NA
274,206,2011,0,0,NA,NA
275,206,2011,0,0,NA,NA
276,207,2014,0,1,LAW,2
277,208,2013,1,0,NA,NA
278,209,2004,1,1,OTHER,5
279,210,2014,1,1,BUSINESS,1
280,211,2005,0,1,NA,4
281,212,2005,0,0,NA,NA
282,213,2018,1,0,NA,NA
283,214,2009,1,0,NA,NA
284,215,2006,0,0,NA,NA
285,216,2008,0,1,LAW,2
286,217,2012,0,0,NA,NA
287,218,2016,1,1,MEDICAL,2
288,218,2016,1,1,MEDICAL,14
289,219,2017,0,0,NA,NA
290,220,2008,0,1,OTHER MS,1
291,221,2006,1,0,NA,NA
292,222,2005,0,1,OTHER MS,4
293,223,2006,1,0,NA,NA
294,224,2003,1,1,LAW,3
295,225,2018,0,0,NA,NA
296,225,2018,0,0,NA,NA
297,226,2012,0,0,NA,NA
298,227,2003,1,1,LAW,2
299,228,2017,0,1,STEM MS,1
300,229,2008,1,1,OTHER,3
301,229,2008,1,1,OTHER MS,3
302,229,2008,1,1,OTHER,1
303,229,2008,1,1,OTHER,4
304,230,2017,0,0,NA,NA
305,230,2017,0,0,NA,NA
306,230,2017,0,0,NA,NA
307,230,2017,0,0,NA,NA
308,231,2016,0,0,NA,NA
309,232,2011,1,0,NA,NA
310,233,2008,0,0,NA,NA
311,234,2014,0,0,NA,NA
312,235,2009,0,0,NA,NA
313,235,2009,0,0,NA,NA
314,236,2019,1,0,NA,NA
315,237,2011,1,1,LAW,3
316,238,2008,0,0,NA,NA
317,238,2008,0,0,NA,NA
318,238,2008,0,0,NA,NA
319,239,2002,1,0,NA,NA
320,240,2009,0,0,NA,NA
321,240,2009,0,0,NA,NA
322,241,2017,0,1,STEM PhD,1
323,242,2019,1,1,LAW,1
324,243,2006,1,0,NA,NA
325,244,2004,0,1,OTHER,1
326,245,2016,1,0,NA,NA
327,246,2017,1,0,NA,NA
328,247,2010,1,1,STEM MS,14
329,248,2008,0,1,OTHER,1
330,249,2012,1,0,NA,NA
331,250,2019,0,0,NA,NA
332,251,2005,0,1,LAW,2
333,252,2002,1,1,OTHER,4
334,253,2013,0,1,STEM MS,2
335,254,2014,0,1,LAW,0
336,255,2019,1,1,OTHER MS,0
337,256,2016,0,0,NA,NA
338,257,2015,1,0,NA,NA
339,257,2015,1,0,NA,NA
340,258,2019,1,0,NA,NA
341,258,2019,1,0,NA,NA
342,259,2012,0,0,NA,NA
343,259,2012,0,0,NA,NA
344,260,2001,0,1,NA,5
345,260,2001,0,1,OTHER,5
346,261,2002,1,1,LAW,3
347,261,2002,1,1,OTHER,0
348,261,2002,1,1,STEM MS,2
349,262,2015,1,1,BUSINESS,7
350,262,2015,1,1,BUSINESS,2
351,263,2015,0,0,NA,NA
352,264,2008,0,1,LAW,5
353,265,2012,0,0,NA,NA
354,266,2012,0,1,OTHER PhD,6
355,266,2012,0,1,OTHER,3
356,267,2017,1,0,NA,NA
357,268,2015,1,1,OTHER,6
358,269,2013,1,1,BUSINESS,2
359,270,2010,0,1,OTHER PhD,2
360,271,2010,1,1,OTHER,2
361,271,2010,1,1,BUSINESS,5
362,272,2012,1,1,LAW,4
363,273,2003,0,0,NA,NA
364,274,2017,1,1,LAW,1
365,275,2012,1,0,NA,NA
366,276,2019,0,0,NA,NA
367,277,2006,0,1,OTHER MS,5
368,277,2006,0,1,STEM PhD,4
369,278,2008,0,0,NA,NA
370,279,2006,0,1,OTHER,2
371,280,2017,0,0,NA,NA
372,280,2017,0,0,NA,NA
373,281,2003,1,1,STEM MS,2
374,282,2002,0,1,NA,10
375,282,2002,0,1,LAW,1
376,282,2002,0,1,OTHER MS,4
377,283,2007,0,1,NA,4
378,284,2002,1,1,NA,1
379,285,2006,1,0,NA,NA
380,286,2009,0,0,NA,NA
381,286,2009,0,0,NA,NA
382,287,2007,1,0,NA,NA
383,288,2015,1,1,OTHER PhD,2
384,289,2017,0,1,BUSINESS,7
385,290,2004,1,0,NA,NA
386,291,2011,1,0,NA,NA
387,292,2015,1,1,BUSINESS,2
388,293,2002,1,0,NA,NA
389,294,2014,1,1,MEDICAL,6
390,295,2017,1,0,NA,NA
391,296,2012,1,0,NA,NA
392,297,2005,0,0,NA,NA
393,298,2006,0,0,NA,NA
394,299,2005,0,0,NA,NA
395,300,2001,0,1,OTHER MS,2
396,301,2014,0,1,OTHER,1
397,302,2014,0,1,LAW,3
398,302,2014,0,1,LAW,2
399,303,2018,1,0,NA,NA
400,303,2018,1,0,NA,NA
401,304,2002,0,1,LAW,2
402,305,2001,0,0,NA,NA
403,306,2009,1,0,NA,NA
404,306,2009,1,0,NA,NA
405,307,2015,0,0,NA,NA
406,308,2004,0,1,OTHER,2
407,309,2011,0,1,OTHER MS,2
408,310,2009,0,1,NA,2
409,311,2015,1,1,OTHER,5
410,312,2012,1,0,NA,NA
411,313,2018,0,0,NA,NA
412,314,2001,0,0,NA,NA
413,315,2019,0,1,STEM MS,1
414,315,2019,0,1,STEM MS,4
415,316,2019,0,1,OTHER MS,1
416,317,2001,0,0,NA,NA
417,317,2001,0,0,NA,NA
418,318,2015,1,1,OTHER,2
419,319,2013,0,0,NA,NA
420,320,2009,0,1,NA,0
421,320,2009,0,1,MEDICAL,8
422,321,2013,0,1,OTHER,14
423,322,2014,0,0,NA,NA
424,323,2004,1,1,OTHER PhD,4
425,324,2018,0,1,LAW,2
426,325,2015,1,1,OTHER MS,2
427,326,2014,1,0,NA,NA
428,327,2002,0,0,NA,NA
429,327,2002,0,0,NA,NA
430,328,2014,0,1,OTHER MS,3
431,328,2014,0,1,BUSINESS,2
432,328,2014,0,1,OTHER PhD,3
433,328,2014,0,1,MEDICAL,4
434,329,2008,0,0,NA,NA
435,330,2007,0,0,NA,NA
436,330,2007,0,0,NA,NA
437,331,2002,0,1,BUSINESS,4
438,332,2010,0,0,NA,NA
439,333,2017,1,1,OTHER,3
440,334,2017,0,0,NA,NA
441,335,2013,1,1,LAW,4
442,335,2013,1,1,LAW,3
443,336,2019,0,1,OTHER,4
444,336,2019,0,1,OTHER PhD,14
445,337,2013,0,1,OTHER,1
446,338,2005,1,0,NA,NA
447,339,2012,0,1,STEM MS,2
448,340,2012,0,0,NA,NA
449,341,2015,0,0,NA,NA
450,342,2017,0,1,STEM MS,5
451,343,2007,1,1,BUSINESS,4
452,344,2010,1,0,NA,NA
453,345,2018,0,1,OTHER MS,2
454,345,2018,0,1,NA,1
455,346,2017,0,0,NA,NA
456,347,2010,1,1,LAW,7
457,348,2001,0,0,NA,NA
458,349,2009,1,1,OTHER,5
459,350,2005,0,1,STEM MS,1
460,351,2008,0,0,NA,NA
461,351,2008,0,0,NA,NA
462,352,2015,1,0,NA,NA
463,353,2003,1,0,NA,NA
464,353,2003,1,0,NA,NA
465,354,2015,1,1,STEM MS,0
466,355,2015,0,0,NA,NA
467,356,2010,0,1,NA,2
468,356,2010,0,1,OTHER PhD,2
469,356,2010,0,1,LAW,4
470,356,2010,0,1,LAW,1
471,357,2006,1,1,LAW,2
472,358,2006,1,0,NA,NA
473,359,2012,1,0,NA,NA
474,360,2009,1,1,BUSINESS,3
475,361,2014,1,1,LAW,2
476,361,2014,1,1,LAW,4
477,362,2018,1,1,OTHER MS,4
478,363,2006,1,0,NA,NA
479,364,2016,0,1,NA,4
480,365,2004,1,0,NA,NA
481,366,2016,0,1,OTHER PhD,6
482,367,2014,1,0,NA,NA
483,368,2018,0,0,NA,NA
484,369,2019,0,1,OTHER PhD,2
485,370,2002,0,1,OTHER MS,5
486,371,2016,1,1,STEM PhD,2
487,372,2015,1,0,NA,NA
488,373,2010,0,1,BUSINESS,0
489,373,2010,0,1,OTHER,2
490,373,2010,0,1,LAW,4
491,374,2018,0,0,NA,NA
492,375,2014,0,0,NA,NA
493,376,2013,0,1,OTHER MS,3
494,377,2016,1,0,NA,NA
495,378,2002,1,0,NA,NA
496,379,2017,1,0,NA,NA
497,380,2002,0,0,NA,NA
498,381,2002,1,1,BUSINESS,1
499,382,2011,1,0,NA,NA
500,383,2010,1,1,STEM MS,4
501,383,2010,1,1,OTHER MS,3
502,383,2010,1,1,MEDICAL,5
503,383,2010,1,1,LAW,2
504,383,2010,1,1,LAW,2
505,384,2013,1,0,NA,NA
506,385,2008,1,0,NA,NA
507,386,2012,0,0,NA,NA
508,387,2009,0,0,NA,NA
509,387,2009,0,0,NA,NA
510,387,2009,0,0,NA,NA
511,387,2009,0,0,NA,NA
512,388,2004,0,0,NA,NA
513,389,2010,1,0,NA,NA
514,389,2010,1,0,NA,NA
515,390,2003,0,0,NA,NA
516,391,2005,0,1,STEM PhD,1
517,391,2005,0,1,OTHER MS,3
518,392,2001,0,0,NA,NA
519,392,2001,0,0,NA,NA
520,393,2017,0,1,LAW,2
521,394,2013,1,0,NA,NA
522,395,2010,1,1,LAW,3
523,396,2004,1,1,OTHER MS,3
524,397,2009,1,0,NA,NA
525,398,2013,0,0,NA,NA
526,398,2013,0,0,NA,NA
527,399,2017,0,0,NA,NA
528,400,2013,1,0,NA,NA
529,401,2013,0,0,NA,NA
530,402,2001,0,0,NA,NA
531,403,2002,0,0,NA,NA
532,404,2016,0,1,OTHER,2
533,405,2004,0,1,LAW,7
534,406,2006,0,0,NA,NA
535,406,2006,0,0,NA,NA
536,407,2008,1,1,OTHER PhD,2
537,408,2016,0,0,NA,NA
538,409,2016,1,1,OTHER,2
539,410,2010,1,1,MEDICAL,3
540,410,2010,1,1,OTHER,1
541,411,2016,1,0,NA,NA
542,412,2001,1,1,NA,4
543,412,2001,1,1,STEM PhD,2
544,413,2012,1,0,NA,NA
545,414,2009,0,0,NA,NA
546,415,2010,0,1,OTHER MS,1
547,415,2010,0,1,STEM PhD,1
548,416,2019,0,0,NA,NA
549,417,2002,0,0,NA,NA
550,418,2012,0,0,NA,NA
551,419,2007,0,0,NA,NA
552,420,2017,0,0,NA,NA
553,421,2017,1,1,BUSINESS,2
554,421,2017,1,1,OTHER,9
555,422,2009,0,1,OTHER MS,2
556,423,2001,1,0,NA,NA
557,424,2012,1,1,OTHER,4
558,424,2012,1,1,BUSINESS,4
559,425,2005,0,0,NA,NA
560,426,2007,1,0,NA,NA
561,427,2002,1,1,BUSINESS,2
562,428,2008,0,0,NA,NA
563,429,2009,1,1,MEDICAL,3
564,430,2007,1,0,NA,NA
565,430,2007,1,0,NA,NA
566,430,2007,1,0,NA,NA
567,431,2017,1,1,LAW,0
568,432,2010,0,1,STEM MS,6
569,432,2010,0,1,STEM PhD,1
570,433,2003,1,1,OTHER PhD,13
571,433,2003,1,1,BUSINESS,17
572,434,2014,0,1,OTHER MS,5
573,435,2007,0,1,OTHER MS,2
574,436,2009,0,0,NA,NA
575,437,2019,0,1,OTHER,11
576,438,2007,1,0,NA,NA
577,439,2012,0,1,LAW,5
578,439,2012,0,1,MEDICAL,6
579,440,2007,0,0,NA,NA
580,441,2004,1,0,NA,NA
581,442,2013,1,0,NA,NA
582,443,2006,1,1,STEM PhD,1
583,443,2006,1,1,LAW,4
584,444,2017,1,0,NA,NA
585,444,2017,1,0,NA,NA
586,445,2019,0,0,NA,NA
587,445,2019,0,0,NA,NA
588,445,2019,0,0,NA,NA
589,445,2019,0,0,NA,NA
590,446,2002,1,0,NA,NA
591,447,2011,0,0,NA,NA
592,448,2012,0,0,NA,NA
593,449,2014,1,0,NA,NA
594,449,2014,1,0,NA,NA
595,450,2002,1,1,BUSINESS,2
596,451,2014,0,1,MEDICAL,9
597,452,2018,0,1,MEDICAL,3
598,453,2004,1,0,NA,NA
599,454,2018,1,0,NA,NA
600,455,2016,1,0,NA,NA
601,455,2016,1,0,NA,NA
602,455,2016,1,0,NA,NA
603,456,2006,1,0,NA,NA
604,457,2014,0,1,OTHER PhD,5
605,458,2008,1,0,NA,NA
606,459,2013,0,0,NA,NA
607,460,2008,0,1,LAW,7
608,461,2011,0,1,OTHER,6
609,462,2018,1,1,LAW,5
610,463,2009,0,0,NA,NA
611,464,2002,1,0,NA,NA
612,464,2002,1,0,NA,NA
613,465,2007,0,0,NA,NA
614,466,2002,0,1,OTHER MS,2
615,467,2002,0,1,OTHER,7
616,468,2008,1,0,NA,NA
617,469,2013,1,0,NA,NA
618,469,2013,1,0,NA,NA
619,470,2010,1,0,NA,NA
620,471,2013,0,1,STEM MS,5
621,472,2002,1,1,OTHER,8
622,472,2002,1,1,LAW,2
623,473,2016,1,1,MEDICAL,3
624,474,2002,1,0,NA,NA
625,475,2002,0,0,NA,NA
626,476,2009,1,1,LAW,4
627,477,2015,0,1,LAW,2
628,478,2009,1,1,LAW,9
629,479,2015,0,0,NA,NA
630,480,2011,0,0,NA,NA
631,480,2011,0,0,NA,NA
632,481,2004,0,1,OTHER PhD,6
633,481,2004,0,1,NA,1
634,481,2004,0,1,OTHER PhD,5
635,482,2018,0,0,NA,NA
636,483,2007,1,0,NA,NA
637,483,2007,1,0,NA,NA
638,484,2002,1,0,NA,NA
639,485,2011,1,1,OTHER,4
640,486,2014,1,0,NA,NA
641,486,2014,1,0,NA,NA
642,487,2008,1,0,NA,NA
643,487,2008,1,0,NA,NA
644,488,2011,1,1,LAW,3
645,489,2006,0,0,NA,NA
646,490,2011,1,0,NA,NA
647,491,2002,1,0,NA,NA
648,492,2019,0,1,NA,2
649,493,2013,1,1,BUSINESS,5
650,494,2019,1,0,NA,NA
651,495,2010,1,0,NA,NA
652,496,2005,0,0,NA,NA
653,497,2018,1,0,NA,NA
654,498,2002,0,0,NA,NA
655,499,2006,1,0,NA,NA
656,499,2006,1,0,NA,NA
657,500,2005,0,0,NA,NA
658,501,2014,1,1,OTHER,2
659,502,2005,1,0,NA,NA
660,503,2018,1,1,OTHER MS,1
661,504,2016,1,1,LAW,2
662,505,2002,1,1,STEM MS,2
663,505,2002,1,1,BUSINESS,8
664,506,2007,0,1,LAW,0
665,507,2004,0,0,NA,NA
666,507,2004,0,0,NA,NA
667,508,2019,0,1,OTHER,5
668,509,2005,1,0,NA,NA
669,510,2010,0,1,OTHER,4
670,511,2004,0,1,LAW,2
671,512,2002,1,1,BUSINESS,2
672,513,2010,0,0,NA,NA
673,513,2010,0,0,NA,NA
674,513,2010,0,0,NA,NA
675,514,2016,0,0,NA,NA
676,515,2016,1,0,NA,NA
677,516,2008,0,1,OTHER PhD,1
678,517,2019,1,1,STEM PhD,4
679,518,2011,1,1,STEM MS,5
680,519,2002,0,1,LAW,3
681,520,2001,0,0,NA,NA
682,521,2004,1,1,OTHER,5
683,522,2005,0,0,NA,NA
684,522,2005,0,0,NA,NA
685,522,2005,0,0,NA,NA
686,522,2005,0,0,NA,NA
687,523,2019,0,0,NA,NA
688,524,2002,1,0,NA,NA
689,525,2008,1,1,LAW,4
690,526,2013,0,0,NA,NA
691,527,2010,0,0,NA,NA
692,528,2014,0,0,NA,NA
693,529,2002,1,0,NA,NA
694,530,2003,0,1,LAW,1
695,531,2006,0,1,MEDICAL,2
696,532,2007,0,0,NA,NA
697,533,2009,0,1,MEDICAL,3
698,534,2010,0,0,NA,NA
699,534,2010,0,0,NA,NA
700,535,2012,0,0,NA,NA
701,535,2012,0,0,NA,NA
702,536,2014,1,0,NA,NA
703,537,2017,1,1,MEDICAL,0
704,538,2008,1,1,LAW,0
705,539,2019,0,1,OTHER,6
706,540,2001,1,1,OTHER,1
707,541,2010,1,1,MEDICAL,6
708,542,2010,0,0,NA,NA
709,543,2018,0,1,OTHER,2
710,544,2002,1,1,LAW,2
711,545,2016,0,0,NA,NA
712,546,2007,1,1,OTHER MS,6
713,547,2006,1,1,MEDICAL,20
714,548,2015,0,1,OTHER,4
715,549,2018,0,0,NA,NA
716,550,2004,1,0,NA,NA
717,551,2015,0,1,STEM PhD,4
718,551,2015,0,1,OTHER,6
719,552,2003,1,0,NA,NA
720,553,2010,0,0,NA,NA
721,554,2002,1,0,NA,NA
722,554,2002,1,0,NA,NA
723,555,2010,0,0,NA,NA
724,556,2008,1,0,NA,NA
725,557,2010,1,0,NA,NA
726,558,2011,0,0,NA,NA
727,559,2012,0,0,NA,NA
728,560,2017,0,0,NA,NA
729,561,2019,1,0,NA,NA
730,561,2019,1,0,NA,NA
731,562,2007,1,0,NA,NA
732,563,2003,1,0,NA,NA
733,564,2009,0,0,NA,NA
734,564,2009,0,0,NA,NA
735,565,2001,1,0,NA,NA
736,566,2011,0,1,BUSINESS,8
737,566,2011,0,1,LAW,6
738,567,2014,0,1,BUSINESS,9
739,567,2014,0,1,OTHER,10
740,568,2011,1,0,NA,NA
741,569,2011,0,1,OTHER,2
742,570,2015,1,1,MEDICAL,3
743,571,2016,1,1,OTHER,2
744,572,2009,1,0,NA,NA
745,573,2002,1,1,BUSINESS,11
746,574,2005,0,0,NA,NA
747,575,2009,1,1,OTHER PhD,2
748,575,2009,1,1,BUSINESS,5
749,576,2006,1,1,OTHER,10
750,576,2006,1,1,MEDICAL,2
751,577,2008,0,0,NA,NA
752,577,2008,0,0,NA,NA
753,577,2008,0,0,NA,NA
754,578,2002,0,1,OTHER MS,1
755,579,2008,1,1,BUSINESS,11
756,579,2008,1,1,OTHER,6
757,580,2013,0,0,NA,NA
758,580,2013,0,0,NA,NA
759,581,2013,1,0,NA,NA
760,582,2017,1,0,NA,NA
761,583,2002,0,1,BUSINESS,2
762,583,2002,0,1,LAW,5
763,584,2017,1,0,NA,NA
764,585,2007,0,0,NA,NA
765,586,2015,1,0,NA,NA
766,587,2017,1,0,NA,NA
767,588,2007,1,1,OTHER MS,1
768,589,2012,1,1,OTHER,5
769,590,2006,0,0,NA,NA
770,591,2010,1,0,NA,NA
771,592,2014,1,0,NA,NA
772,593,2001,0,0,NA,NA
773,594,2010,0,0,NA,NA
774,595,2010,1,0,NA,NA
775,596,2011,0,1,LAW,2
776,597,2007,0,1,OTHER,2
777,598,2019,1,1,STEM PhD,2
778,599,2008,1,1,MEDICAL,2
779,600,2001,1,1,OTHER MS,1
780,601,2008,0,1,OTHER,3
781,601,2008,0,1,LAW,3
782,602,2017,1,0,NA,NA
783,602,2017,1,0,NA,NA
